folder,kind,day,night,etc
NegativeDB_chimney,train,4481,0,26
NegativeDB_cloud,train,5127,0,34
NegativeDB_fog,train,4751,0,1515
PositiveRealDB_dark,train,12778,0,37
PositiveRealDB_fire,train,3092,0,4
PositiveRealDB_whitegray,train,24130,0,1529
PositiveSyntheticDB_dark,train,4462,0,0
NegativeDB_chimney,val,402,0,0
NegativeDB_cloud,val,1144,0,0
NegativeDB_fog,val,828,0,0
PositiveRealDB_dark,val,742,0,840
PositiveRealDB_fire,val,280,0,0
PositiveRealDB_whitegray,val,1448,0,663
PositiveSyntheticDB_dark,val,572,0,0
PositiveSyntheticDB_fire,val,63,0,0
