folder,kind,img
NegativeDB_chimney,train,64139
NegativeDB_cloud,train,64052
NegativeDB_fog,train,31998
PositiveRealDB_dark,train,76723
PositiveRealDB_fire,train,57588
PositiveRealDB_whitegray,train,153691
PositiveSyntheticDB_dark,train,29839
PositiveSyntheticDB_fire,train,22361
PositiveSyntheticDB_whitegray,train,59974
NegativeDB_chimney,val,7876
NegativeDB_cloud,val,7922
라벨링할 데이터,val,186
NegativeDB_fog,val,4002
PositiveRealDB_dark,val,9630
PositiveRealDB_fire,val,7231
PositiveRealDB_whitegray,val,19041
PositiveSyntheticDB_dark,val,3739
PositiveSyntheticDB_fire,val,2817
PositiveSyntheticDB_whitegray,val,7377
